temp,vapour pressure,PET(Pote0tial Evapo-Tra0spiratio0),rain
21.88,24.44,5.85,0
22.43,35.02,5.36,0
22.17,23.17,5.92,0
24.34,24.29,6.63,0
21.95,33.44,5.37,0
22.42,27.53,5.85,0
24.15,25.05,6.6,0
26.48,24.59,7.43,0
26.74,47.3,7.22,0
21.88,24.44,5.85,0
22.43,35.02,5.36,0
22.17,23.17,5.92,0
24.34,24.29,6.63,0
21.95,33.44,5.37,0
22.42,27.53,5.85,0
24.15,25.05,6.6,0
26.48,24.59,7.43,0
26.74,47.3,7.22,0
21.88,24.44,5.85,0
22.43,35.02,5.36,0
22.17,23.17,5.92,0
24.34,24.29,6.63,0
21.95,33.44,5.37,0
22.42,27.53,5.85,0
24.15,25.05,6.6,0
26.48,24.59,7.43,0
26.74,47.3,7.22,0
26.37,24.4,7.42,1
28.2,35.02,7.58,1
27.24,46.16,7.25,1
24.56,71.07,5.86,1
24.66,80,5.37,1
23.65,72.95,5.45,1
24.23,63.78,5.74,1
24.35,58.68,5.43,1
23.17,46.03,5.32,1
21.71,36.49,5.29,1
28.35,35,7.6,1
27.3,46.3,7.25,1
24.65,70.02,5.89,1
24.29,80,5.34,1
24.45,72.95,5.47,1
24.84,63.78,5.77,1
25.2,58.6,5.47,1
23.54,46.56,5.34,1
28.06,46.3,7.29,1
25.51,70.03,5.92,1
24.81,79.62,5.41,1
24.18,72.95,5.49,1
23.95,63.78,5.74,1
24.3,58.94,5.42,1
23.01,46.33,5.27,1
22.17,35.85,5.32,1
23.43,23.39,6.64,1
25.42,24.06,7.36,1
27.38,35,7.47,1
28.13,46.3,7.29,1
24.53,70.82,5.9,1
23.72,80,5.3,1
24.16,72.95,5.45,1
24.55,63.78,5.77,1
23.98,58.18,5.44,1
23.05,45.78,5.26,1
22.48,35.65,5.34,1
27.18,23.42,7.5,1
28.32,35,7.61,1
27.62,46.3,7.29,1
24.26,70.02,5.89,1
23.76,80,5.3,1
24.28,72.95,5.44,1
25.06,63.78,5.81,1
23.88,58.54,5.43,1
22.58,45.76,5.24,1
21.99,25.85,5.87,1
24.02,22.61,6.63,1
28.74,34.98,7.62,1
27.71,46.3,7.3,1
24.82,70.02,5.89,1
24.58,79.62,5.37,1
24.05,72.95,5.46,1
24.73,63.78,5.76,1
24.76,58.19,5.46,1
23.24,46.62,5.27,1
22.71,35.88,5.35,1
25.96,24.06,7.39,1
28.18,35,7.55,1
27.53,46.3,7.23,1
25.28,69.9,5.91,1
25.17,80,5.41,1
24.51,72.95,5.47,1
25.74,63.78,5.82,1
24.76,58.18,5.48,1
23.75,46.25,5.33,1
22.42,35.85,5.36,1
27.55,35,7.58,1
27.38,46.34,7.22,1
25.49,70.26,5.93,1
24.02,80,5.35,1
24.01,72.95,5.46,1
24.16,63.78,5.71,1
24.74,58.79,5.43,1
23.29,45.97,5.32,1
22.09,35.85,5.34,1
27.4,46.3,7.25,1
24.72,70.02,5.88,1
23.81,80,5.32,1
23.96,72.95,5.43,1
24.51,63.78,5.75,1
24.77,58.34,5.46,1
23.2,45.97,5.32,1
28.71,35,7.66,1
26.14,46.19,7.21,1
24.6,70.02,5.87,1
23.99,80,5.33,1
23.85,72.95,5.42,1
25.06,63.78,5.77,1
24.33,58.3,5.45,1
23.35,46.32,5.3,1
27.91,35,7.59,1
27.73,46.3,7.28,1
24.66,70.02,5.91,1
23.58,80,5.32,1
23.62,72.95,5.41,1
25.02,63.78,5.78,1
24.29,58.18,5.47,1
22.66,45.97,5.27,1
28.1,35,7.58,1
26.87,46.3,7.21,1
24.81,70.02,5.88,1
24.26,80,5.34,1
24.09,72.95,5.46,1
24.63,63.78,5.76,1
24.39,58.18,5.43,1
23.54,45.97,5.33,1
26.69,24.06,7.43,1
28.2,35,7.58,1
27.82,46.3,7.27,1
25.3,70.02,5.92,1
24.28,80,5.35,1
24.46,72.95,5.49,1
24.13,63.78,5.75,1
24.2,58.18,5.42,1
23.14,45.97,5.3,1
21.67,35.85,5.28,1
27.74,35,7.55,1
27.69,46.3,7.24,1
25.07,70.02,5.92,1
23.75,80,5.31,1
24.59,72.95,5.46,1
24.82,63.78,5.81,1
24.27,58.18,5.47,1
22.47,45.97,5.27,1
22.37,25.85,5.83,1
26.47,24.06,7.46,1
28.07,35,7.6,1
26.25,46.3,7.16,1
25.95,70.02,5.91,1
24.17,80,5.35,1
24.61,72.95,5.47,1
24.73,63.78,5.77,1
24.52,58.18,5.42,1
24.48,45.97,5.36,1
27.69,34.52,7.55,1
28.27,45.1,7.29,1
25.05,77.03,5.78,1
24.58,84.16,5.29,1
24.17,78.71,5.36,1
24.44,77.12,5.52,1
24.14,56.25,5.45,1
23.75,54.42,5.17,1
21.86,49.54,5.07,1
26.58,28.48,7.39,1
26.85,34.34,7.5,1
27.6,46.71,7.18,1
26.43,66.86,6.02,1
24.84,87.23,5.27,1
24.52,76.24,5.42,1
25.21,64.07,5.79,1
24.9,46.76,5.69,1
24.35,55.06,5.15,1
23.12,47.56,5.15,1
28.91,30.16,7.72,1
28.08,51.58,7.17,1
26.26,75.43,5.89,1
24.55,81.26,5.36,1
24.76,76.35,5.43,1
24.59,74.17,5.58,1
24.51,60.5,5.39,1
23.91,44.86,5.35,1
22.48,45.4,5.17,1
27.89,33.22,7.65,1
25.82,59.38,6.91,1
24.77,66.85,5.91,1
24.24,84.33,5.25,1
24.56,71.26,5.5,1
25.22,60.32,5.87,1
24.7,58.75,5.46,1
23.53,36.84,5.5,1
25.03,36.93,6.46,1
28.09,33.22,7.61,1
26.86,46.22,7.24,1
24.39,84.61,5.58,1
24.06,79.21,5.35,1
24.07,73.16,5.44,1
