temp,vapour pressure,PET(Pote0tial Evapo-Tra0spiratio0),rainfall,rain
21.88,24.44,5.85,0,0
24.95,25.07,6.63,3.91,1
26.81,25.11,7.43,11.14,1
28.67,34.8,7.64,27.28,1
27.05,46.93,7.24,124.76,1
24.51,74.67,5.79,83.67,1
23.51,80.74,5.3,190.65,1
23.83,75.44,5.41,101.71,1
23.72,67.12,5.67,135.09,1
23.47,64.32,5.29,188.77,1
22.06,46.39,5.23,129.3,1
21.15,33.42,5.35,5.79,1
20.7,26.18,5.78,0,0
23.18,19.18,6.61,0,0
26.76,22.79,7.46,0.25,0
27.28,35.7,7.52,111.14,1
27.43,43.64,7.25,69.87,1
25.73,60.79,6.12,20.72,1
24.44,78.32,5.42,51.05,1
24.03,71.89,5.47,111.41,1
24.62,62.7,5.77,47.69,1
24.73,55.64,5.5,69.55,1
23.27,51.65,5.21,146.72,1
22.43,35.02,5.36,1.29,0
22.17,23.17,5.92,0,0
24.34,24.29,6.63,1.24,0
26.58,25.08,7.42,32.9,1
28.07,36.8,7.57,89.79,1
26.18,48.91,7.13,155.89,1
24.86,71.25,5.84,115.04,1
24.04,80.86,5.32,45.75,1
24.26,73.89,5.44,97.67,1
24.8,62.94,5.81,101.51,1
23.96,60.78,5.38,295.31,1
23.37,51.96,5.2,102.97,1
21.95,33.44,5.37,0.22,0
22.42,27.53,5.85,0,0
24.15,25.05,6.6,12.3,0
26.48,24.59,7.43,2.7,0
28.04,34.68,7.58,65.44,1
26.74,47.3,7.22,107.63,0
23.94,73.03,5.79,45.54,1
23.44,81.69,5.25,95.81,1
23.67,74.59,5.41,62.76,1
24.2,63.78,5.73,153.49,1
24.48,57.02,5.46,97.78,1
23.51,47.91,5.26,68.44,1
22.08,41.36,5.22,37.23,1
22.78,30.75,5.78,0,0
24.66,28.36,6.57,37.73,1
26.57,24.28,7.43,4.42,0
28.33,31.95,7.65,33.35,1
27.27,45.21,7.25,89.36,1
25.09,69.82,5.95,167.94,1
22.99,81.08,5.26,96.57,1
24.1,72.31,5.44,75.04,1
24.13,66.32,5.68,233.92,1
24.23,56.74,5.45,171.93,1
23.29,54.8,5.12,128.21,1
22.77,37.25,5.35,1.08,0
22.07,23.7,5.92,0,0
24.38,21.75,6.68,0,0
26.56,23.16,7.46,3.22,0
27.98,36.64,7.52,52.23,1
27.84,44.4,7.32,126.08,1
